difficulty,puzzle_idx,board_str,method,mean_reward,std_reward,solve_rate,train_episodes,train_seconds
12,0,ooBBJoFGHoJKFGHAAKoCCIoKoooIDDEEoooo,hrep,-3.1667,0.0000,0.0000,1200,9392.4
12,0,ooBBJoFGHoJKFGHAAKoCCIoKoooIDDEEoooo,vrep,-3.1667,0.0000,0.0000,1200,9341.0
12,0,ooBBJoFGHoJKFGHAAKoCCIoKoooIDDEEoooo,gnn,-3.1667,0.0000,0.0000,1200,11329.5
12,1,BBJooxHoJoDDHAAooLoIEEoLoIoKFFGGoKoo,hrep,10.3475,0.0000,1.0000,1200,21692.2
12,1,BBJooxHoJoDDHAAooLoIEEoLoIoKFFGGoKoo,vrep,10.3478,0.0000,1.0000,1200,20469.2
