difficulty,puzzle_idx,board_str,method,mean_reward,std_reward,solve_rate,train_episodes,train_seconds
10,0,oBBCCooooJDDAAoJKoHoEEKLHoIFFLGGIooo,hrep,10.3688,0.0000,1.0000,750,10882.7
10,0,oBBCCooooJDDAAoJKoHoEEKLHoIFFLGGIooo,vrep,10.3661,0.0000,1.0000,750,11000.8
10,0,oBBCCooooJDDAAoJKoHoEEKLHoIFFLGGIooo,gnn,10.3683,0.0000,1.0000,750,13057.0
10,1,FoBBoJFoooIJooAAIKooGCCKooGHDDoEEHoo,hrep,10.2903,0.0000,1.0000,750,10472.7
10,1,FoBBoJFoooIJooAAIKooGCCKooGHDDoEEHoo,vrep,10.2895,0.0000,1.0000,750,9581.3
10,1,FoBBoJFoooIJooAAIKooGCCKooGHDDoEEHoo,gnn,10.2793,0.0000,1.0000,750,12542.6
10,2,oooBBoGCCIJoGAAIJoooHIDDooHEEKooFFoK,hrep,10.3104,0.0000,1.0000,750,10826.9
